Family,Instance,Param,Algorithm,Time_Min,Time_Avg_Rand
Random4-C,Random4-C.15.0,15,radix,0.775437,0.723777
Long-n,Long-n.10.0,10,dijkstra,0.000113,0.0001346
Long-n,Long-n.10.0,10,dial,0.000223,0.0001784
Long-n,Long-n.10.0,10,radix,0.000242,0.000187
Long-n,Long-n.11.0,11,dijkstra,0.000294,0.0002614
Long-n,Long-n.11.0,11,dial,0.000663,0.00048000000000000007
Long-n,Long-n.11.0,11,radix,0.000385,0.00047159999999999997
Long-n,Long-n.12.0,12,dijkstra,0.000727,0.0006158
Long-n,Long-n.12.0,12,dial,0.002094,0.0019057999999999998
Long-n,Long-n.12.0,12,radix,0.000896,0.0011796
Long-n,Long-n.13.0,13,dijkstra,0.001121,0.0010647999999999999
Long-n,Long-n.13.0,13,dial,0.007238,0.0070284
Long-n,Long-n.13.0,13,radix,0.002025,0.002103
Long-n,Long-n.14.0,14,dijkstra,0.005348,0.0033008000000000004
Long-n,Long-n.14.0,14,dial,0.020834,0.0247608
Long-n,Long-n.14.0,14,radix,0.003232,0.0039781999999999994
Long-n,Long-n.15.0,15,dijkstra,0.006848,0.0053444
Long-n,Long-n.15.0,15,dial,0.095089,0.0787856
Long-n,Long-n.15.0,15,radix,0.008825,0.009349
Long-n,Long-n.16.0,16,dijkstra,0.011841,0.014338800000000002
Long-n,Long-n.16.0,16,dial,0.482705,0.3880042
Long-n,Long-n.16.0,16,radix,0.015368,0.017220199999999998
Long-n,Long-n.17.0,17,dijkstra,0.034934,0.0268502
Long-n,Long-n.17.0,17,dial,1.012873,1.4180218
Long-n,Long-n.17.0,17,radix,0.046798,0.03965
Long-n,Long-n.18.0,18,dijkstra,0.079292,0.0638792
Long-n,Long-n.18.0,18,dial,4.800135,5.9021626
Long-n,Long-n.18.0,18,radix,0.089802,0.0950836
Long-n,Long-n.19.0,19,dijkstra,0.165836,0.14661059999999998
Long-n,Long-n.19.0,19,dial,31.085495,24.316624400000002
Long-n,Long-n.19.0,19,radix,0.183771,0.1773054
Long-n,Long-n.20.0,20,dijkstra,0.301453,0.2948774
Long-n,Long-n.20.0,20,dial,81.423893,92.59966059999999
Long-n,Long-n.20.0,20,radix,0.381025,0.37736000000000003
Long-n,Long-n.21.0,21,dijkstra,0.634155,0.6678032
Long-n,Long-n.21.0,21,dial,274.071288,442.252643
Long-n,Long-n.21.0,21,radix,0.796077,0.7768874
Square-n,Square-n.10.0,10,dijkstra,0.000108,0.0001238
Square-n,Square-n.10.0,10,dial,0.000185,0.00017559999999999999
Square-n,Square-n.10.0,10,radix,0.000167,0.000143
Square-n,Square-n.11.0,11,dijkstra,0.000389,0.0002498
Square-n,Square-n.11.0,11,dial,0.000518,0.0004306
Square-n,Square-n.11.0,11,radix,0.00042,0.00029759999999999997
Square-n,Square-n.12.0,12,dijkstra,0.000784,0.0006506
Square-n,Square-n.12.0,12,dial,0.001002,0.0007513999999999999
Square-n,Square-n.12.0,12,radix,0.001107,0.0008014000000000001
Square-n,Square-n.13.0,13,dijkstra,0.00175,0.0011378
Square-n,Square-n.13.0,13,dial,0.00318,0.0022412
Square-n,Square-n.13.0,13,radix,0.002397,0.0019064000000000002
Square-n,Square-n.14.0,14,dijkstra,0.003198,0.003904
Square-n,Square-n.14.0,14,dial,0.00842,0.0065874
Square-n,Square-n.14.0,14,radix,0.004137,0.0043968
Square-n,Square-n.15.0,15,dijkstra,0.005723,0.0069438
Square-n,Square-n.15.0,15,dial,0.022762,0.0178264
Square-n,Square-n.15.0,15,radix,0.007922,0.009472999999999999
Square-n,Square-n.16.0,16,dijkstra,0.016071,0.0169408
Square-n,Square-n.16.0,16,dial,0.060583,0.046012199999999996
Square-n,Square-n.16.0,16,radix,0.015554,0.0184142
Square-n,Square-n.17.0,17,dijkstra,0.046427,0.0372652
Square-n,Square-n.17.0,17,dial,0.15442,0.1272106
Square-n,Square-n.17.0,17,radix,0.049672,0.038834999999999995
Square-n,Square-n.18.0,18,dijkstra,0.090284,0.0924314
Square-n,Square-n.18.0,18,dial,0.301751,0.3540542
Square-n,Square-n.18.0,18,radix,0.095656,0.0896026
Square-n,Square-n.19.0,19,dijkstra,0.218735,0.18459399999999998
Square-n,Square-n.19.0,19,dial,0.996069,0.9937672000000001
Square-n,Square-n.19.0,19,radix,0.233998,0.1943948
Square-n,Square-n.20.0,20,dijkstra,0.429625,0.41126959999999996
Square-n,Square-n.20.0,20,dial,2.565771,2.6320782
Square-n,Square-n.20.0,20,radix,0.460726,0.4295044
Square-n,Square-n.21.0,21,dijkstra,0.904405,0.8859536
Square-n,Square-n.21.0,21,dial,9.112302,6.9001074000000004
Square-n,Square-n.21.0,21,radix,0.969283,0.9060461999999999
Long-C,Long-C.0.0,0,dijkstra,0.382,0.3578624
Long-C,Long-C.0.0,0,dial,0.159426,0.1592564
Long-C,Long-C.0.0,0,radix,0.203338,0.196944
Long-C,Long-C.1.0,1,dijkstra,0.31285,0.30976400000000004
Long-C,Long-C.1.0,1,dial,0.168318,0.1668296
Long-C,Long-C.1.0,1,radix,0.18822,0.1808612
Long-C,Long-C.2.0,2,dijkstra,0.304308,0.3001614
Long-C,Long-C.2.0,2,dial,0.168022,0.16699219999999998
Long-C,Long-C.2.0,2,radix,0.250807,0.23652639999999997
Long-C,Long-C.3.0,3,dijkstra,0.315329,0.3144714
Long-C,Long-C.3.0,3,dial,0.186193,0.1810862
Long-C,Long-C.3.0,3,radix,0.291498,0.2944694
Long-C,Long-C.4.0,4,dijkstra,0.295515,0.2984062
Long-C,Long-C.4.0,4,dial,0.232716,0.226023
Long-C,Long-C.4.0,4,radix,0.347144,0.3443706
Long-C,Long-C.5.0,5,dijkstra,0.309573,0.2988838
Long-C,Long-C.5.0,5,dial,0.307094,0.3236096
Long-C,Long-C.5.0,5,radix,0.382321,0.3654746
Long-C,Long-C.6.0,6,dijkstra,0.296459,0.2855896
Long-C,Long-C.6.0,6,dial,0.66146,0.6244029999999999
Long-C,Long-C.6.0,6,radix,0.371006,0.3703982
Long-C,Long-C.7.0,7,dijkstra,0.302449,0.29229380000000005
Long-C,Long-C.7.0,7,dial,1.513272,1.6881686000000002
Long-C,Long-C.7.0,7,radix,0.372702,0.37134239999999996
Long-C,Long-C.8.0,8,dijkstra,0.274055,0.29552579999999995
Long-C,Long-C.8.0,8,dial,7.315992,5.2143948
Long-C,Long-C.8.0,8,radix,0.364031,0.373049
Long-C,Long-C.9.0,9,dijkstra,0.305949,0.2783376
Long-C,Long-C.9.0,9,dial,21.142562,29.229583400000003
Long-C,Long-C.9.0,9,radix,0.37551,0.3711628
Long-C,Long-C.10.0,10,dijkstra,0.302427,0.2876016
Long-C,Long-C.10.0,10,dial,81.216269,100.4981162
Long-C,Long-C.10.0,10,radix,0.391531,0.3761644
Long-C,Long-C.11.0,11,dijkstra,0.301727,0.300817
Long-C,Long-C.11.0,11,dial,313.787559,500.522407
Long-C,Long-C.11.0,11,radix,0.384377,0.3726346
Long-C,Long-C.12.0,12,dijkstra,0.290842,0.2912772
Long-C,Long-C.12.0,12,dial,,
Long-C,Long-C.12.0,12,radix,0.378956,0.3786976
Long-C,Long-C.13.0,13,dijkstra,0.340099,0.2912834
Long-C,Long-C.13.0,13,dial,,
Long-C,Long-C.13.0,13,radix,0.383016,0.3945158
Long-C,Long-C.14.0,14,dijkstra,0.280707,0.2870968
Long-C,Long-C.14.0,14,dial,,
Long-C,Long-C.14.0,14,radix,0.39949,0.395986
Long-C,Long-C.15.0,15,dijkstra,0.334414,0.312352
Long-C,Long-C.15.0,15,dial,,
Long-C,Long-C.15.0,15,radix,0.408961,0.3984608
Square-C,Square-C.0.0,0,dijkstra,0.557694,0.5585592
Square-C,Square-C.0.0,0,dial,0.203977,0.20324559999999997
Square-C,Square-C.0.0,0,radix,0.253445,0.2482184
Square-C,Square-C.1.0,1,dijkstra,0.454461,0.4636048
Square-C,Square-C.1.0,1,dial,0.20719,0.20280079999999998
Square-C,Square-C.1.0,1,radix,0.221888,0.2315974
Square-C,Square-C.2.0,2,dijkstra,0.465653,0.4587986
Square-C,Square-C.2.0,2,dial,0.218794,0.2009954
Square-C,Square-C.2.0,2,radix,0.240717,0.2142144
Square-C,Square-C.3.0,3,dijkstra,0.484831,0.4750802
Square-C,Square-C.3.0,3,dial,0.213787,0.2062116
Square-C,Square-C.3.0,3,radix,0.237633,0.22584659999999998
Square-C,Square-C.4.0,4,dijkstra,0.445048,0.4526376
Square-C,Square-C.4.0,4,dial,0.201743,0.2006316
Square-C,Square-C.4.0,4,radix,0.285841,0.2408164
Square-C,Square-C.5.0,5,dijkstra,0.481011,0.4636236
Square-C,Square-C.5.0,5,dial,0.230152,0.22586839999999997
Square-C,Square-C.5.0,5,radix,0.308758,0.3109592
Square-C,Square-C.6.0,6,dijkstra,0.441109,0.4413454
Square-C,Square-C.6.0,6,dial,0.248396,0.26044459999999997
Square-C,Square-C.6.0,6,radix,0.380372,0.39386859999999996
Square-C,Square-C.7.0,7,dijkstra,0.459248,0.42806920000000004
Square-C,Square-C.7.0,7,dial,0.370629,0.3479086
Square-C,Square-C.7.0,7,radix,0.547706,0.466849
Square-C,Square-C.8.0,8,dijkstra,0.487274,0.43852539999999995
Square-C,Square-C.8.0,8,dial,0.505675,0.5708664
Square-C,Square-C.8.0,8,radix,0.52408,0.48107259999999996
Square-C,Square-C.9.0,9,dijkstra,0.45356,0.4463012
Square-C,Square-C.9.0,9,dial,1.083611,1.0542692
Square-C,Square-C.9.0,9,radix,0.482559,0.4666456
Square-C,Square-C.10.0,10,dijkstra,0.456069,0.4334888
Square-C,Square-C.10.0,10,dial,2.685942,2.9606760000000003
Square-C,Square-C.10.0,10,radix,0.483315,0.4433108
Square-C,Square-C.11.0,11,dijkstra,0.418623,0.44065760000000004
Square-C,Square-C.11.0,11,dial,9.502825,8.7665784
Square-C,Square-C.11.0,11,radix,0.447244,0.4699078
Square-C,Square-C.12.0,12,dijkstra,0.403897,0.4354804
Square-C,Square-C.12.0,12,dial,38.922784,28.741555999999996
Square-C,Square-C.12.0,12,radix,0.441265,0.47094519999999995
Square-C,Square-C.13.0,13,dijkstra,0.421512,0.4395488
Square-C,Square-C.13.0,13,dial,129.008614,110.1462796
Square-C,Square-C.13.0,13,radix,0.45113,0.4759082
Square-C,Square-C.14.0,14,dijkstra,0.403136,0.43089380000000005
Square-C,Square-C.14.0,14,dial,,540.127387
Square-C,Square-C.14.0,14,radix,0.407328,0.4341714
Square-C,Square-C.15.0,15,dijkstra,0.424299,0.40366460000000004
Square-C,Square-C.15.0,15,dial,,
Square-C,Square-C.15.0,15,radix,0.497891,0.43379519999999994
USA-road-d,USA-road-d.BAY,BAY,dijkstra,0.060818,0.055341600000000005
USA-road-d,USA-road-d.BAY,BAY,dial,0.075896,0.061737
USA-road-d,USA-road-d.BAY,BAY,radix,0.077749,0.0792522
USA-road-d,USA-road-d.CAL,CAL,dijkstra,0.333916,0.3216428
USA-road-d,USA-road-d.CAL,CAL,dial,0.437802,0.3935196
USA-road-d,USA-road-d.CAL,CAL,radix,0.4087,0.41727860000000006
USA-road-d,USA-road-d.COL,COL,dijkstra,0.074506,0.06751080000000001
USA-road-d,USA-road-d.COL,COL,dial,0.126657,0.10778620000000001
USA-road-d,USA-road-d.COL,COL,radix,0.102125,0.0956858
USA-road-d,USA-road-d.CTR,CTR,dijkstra,4.468718,4.2797836
USA-road-d,USA-road-d.CTR,CTR,dial,3.207521,3.1703072
USA-road-d,USA-road-d.CTR,CTR,radix,4.205982,4.2652864
USA-road-d,USA-road-d.E,E,dijkstra,0.698517,0.6813726
USA-road-d,USA-road-d.E,E,dial,0.689357,0.664068
USA-road-d,USA-road-d.E,E,radix,0.80393,0.7901048
USA-road-d,USA-road-d.FLA,FLA,dijkstra,0.160107,0.1680074
USA-road-d,USA-road-d.FLA,FLA,dial,0.256119,0.2347886
USA-road-d,USA-road-d.FLA,FLA,radix,0.244371,0.21897660000000002
USA-road-d,USA-road-d.LKS,LKS,dijkstra,0.471141,0.48869680000000004
USA-road-d,USA-road-d.LKS,LKS,dial,0.590394,0.5677802
USA-road-d,USA-road-d.LKS,LKS,radix,0.653512,0.6021654
USA-road-d,USA-road-d.NE,NE,dijkstra,0.295982,0.26968000000000003
USA-road-d,USA-road-d.NE,NE,dial,0.253777,0.24653920000000001
USA-road-d,USA-road-d.NE,NE,radix,0.377409,0.31724420000000003
USA-road-d,USA-road-d.NW,NW,dijkstra,0.20464,0.20227279999999997
USA-road-d,USA-road-d.NW,NW,dial,0.295898,0.25777320000000004
USA-road-d,USA-road-d.NW,NW,radix,0.25413,0.2715688
USA-road-d,USA-road-d.NY,NY,dijkstra,0.044856,0.0420864
USA-road-d,USA-road-d.NY,NY,dial,0.049943,0.0379628
USA-road-d,USA-road-d.NY,NY,radix,0.058843,0.0543296
USA-road-d,USA-road-d.W,W,dijkstra,1.296383,1.2603588000000001
USA-road-d,USA-road-d.W,W,dial,1.314721,1.2536242
USA-road-d,USA-road-d.W,W,radix,1.483183,1.4092002000000001
