Rodzina,Instancja,dijkstra (Min-Max),dijkstra (4 Random),dial (Min-Max),dial (4 Random),radix (Min-Max),radix (4 Random)
Random4-n,Random4-n.21.0,9051281,"[8021753, 7962615, 11520120, 7944933]",9051281,"[8021753, 7962615, 11520120, 7944933]",9051281,"[8021753, 7962615, 11520120, 7944933]"
Random4-C,Random4-C.15.0,3471241820,"[4303132782, 3285449479, 3923515585, 4834216768]",BRAK,['BRAK'],3471241820,"[4303132782, 3285449479, 3923515585, 4834216768]"
Long-n,Long-n.21.0,31336751771,"[4137488546, 20534900152, 46406387800, 63037605316]",31336751771,"[4137488546, 20534900152, 46406387800]",31336751771,"[4137488546, 20534900152, 46406387800, 63037605316]"
Square-n,Square-n.21.0,714640488,"[627400780, 773584334, 820931845, 312060678]",714640488,"[627400780, 773584334, 820931845, 312060678]",714640488,"[627400780, 773584334, 820931845, 312060678]"
Long-C,Long-C.15.0,1308259008765,"[1122339012956, 6279817984398, 629828042459, 10523381128436]",BRAK,['BRAK'],1308259008765,"[1122339012956, 6279817984398, 629828042459, 10523381128436]"
Square-C,Square-C.15.0,122219500320,"[109667679059, 239894218968, 183454171539, 261947371811]",BRAK,['BRAK'],122219500320,"[109667679059, 239894218968, 183454171539, 261947371811]"
USA-road-d,USA-road-d.W,13133160,"[8070957, 3015305, 5366628, 12272763]",13133160,"[8070957, 3015305, 5366628, 12272763]",13133160,"[8070957, 3015305, 5366628, 12272763]"
